LibroId,Titulo,Autor,Editorial,AñoEdicion,Tipo,Remitente,NivelEducativo,CondicionLibro,AñoRecepcion,Cantidad
1,De Vallejo a Nuestros días Tomo III,Ricardo Gonzales Vigil,E. BRUÑO,2018,1,JEC,Secundaria,B,2015,12
2,Un mundo para Julius,Alfredo Bryce Echenique,E. PEISA,2013,1,JEC,Secundaria,A,2015,12
3,Los perros hambrientos,Ciro Alegría,E. PLANETA,1992,1,JEC,Secundaria,B,2015,11
4,Cien años de soledad,Gabriel García Márquez,E. NORMA,2009,1,JEC,Secundaria,A,2009,12
5,16 Cuentos Latinoamericanos,Varios autores,E. PEISA,2002,1,Donación,Secundaria,A,2008,5
6,Cuentos de  Antología,Julio Ramón Ribeyro,E. CAIPE,2005,1,Donación,Secundaria,B,2015,12
7,El túnel,Ernesto Sábato,E. CATEDRA,2013,1,Donación,Secundaria,B,2015,11
8,El príncipe que todo lo aprende de los libros,Jacinto Benavente,E. JUVENTUD,1977,1,Donación,Secundaria,B,2015,12
9,La ciudad y los perros,Mario Vargas Llosa,E. SANTILLANA,2013,1,Donación,Secundaria,B,2015,12
10,Poetas peruanas de antología,Ricardo Gonzales Vigil,E. BRUÑO,2013,1,Donación,Secundaria,B,2015,12
11,Obra poética,César Vallejo,E. PEISA,2004,1,Donación,Secundaria,A,2015,12
12,Cuentos reunidos,Abraham Valdelomar,E. PEISA,2014,1,Donación,Secundaria,A,2015,12
13,Tradiciones Peruanas,Ricardo Palma,E. PEISA,2001,1,Donación,Secundaria,A,2015,12
14,17 Narradoras Latinoamericanas,varios autores,E. PEISA,1996,1,Donación,Secundaria,A,2015,12
15,La Leyenda del Cid,Agustín Sánchez Aguilar,E. VICENS VIVES,2013,1,Donación,Secundaria,B,2015,11
16,El Principito,Antoine de Saint-Exupéry,TITANIUM,2005,1,Donación,Secundaria,B,2015,11
17,País de Jauja,Edgardo Rivera Martínez,E. SANTILLANA,2067,1,Donación,Secundaria,A,2015,12
18,El viejo Sobero se retira,Miguel Gutiérrez,E. SANTILLANA,2007,1,Donación,Secundaria,A,2015,12
19,Los Jefes - Los Cachorros,Mario Vargas Llosa,E. PLANETA,2013,1,Donación,Secundaria,B,2015,12
20,Poesías Complejas,José María Eguren,E. PEISA,2014,1,Donación,Secundaria,A,2015,12
21,El guardián entre el centeno,Jerome David Salinger,E. ALIANZA,1998,1,Donación,Secundaria,B,2015,12
22,Yawar Fiesta,José María Arguedas,E. HORIZONTE,2013,1,Donación,Secundaria,A,2015,12
23,Breve Antología Didáctica,José María Arguedas,E. HORIZONTE,2013,1,Donación,Secundaria,A,2015,12
24,La Odisea Homero,Tim Mucci,E. BRUÑO,2010,1,Donación,Secundaria,A,2015,24
25,Quijote de la Mancha,Miguel de Cervantes Saavedra,E. BRUÑO,2006,1,Donación,Secundaria,A,2015,12
26,Tragedias de Sófocles,Ricardo Gonzales Vigil,E. BRUÑO,2014,1,Donación,Secundaria,A,2015,12
27,Juan Rulfo,Pedro Páramo,E. CATEDRA,1993,1,Donación,Secundaria,B,2015,12
28,La vuelta al mundo en 80 días,Julio Verne,E. SM,2013,1,Donación,Secundaria,B,2015,24
29,"Mitos, leyendas y cuentos peruanos",José María Arguedas,E. SANTILLANA,2011,1,Donación,Secundaria,A,2015,12
30,La casa de cartón,Martín Adán,E. PEISA,2013,1,Donación,Secundaria,A,2015,12
31,Navajas en el paladar,Jorge Eslava,E. SANTILLANA,2007,1,Donación,Secundaria,A,2015,12
32,Cuentos inolvidables,Julio Cortázar,E. SANTILLANA,2009,1,Donación,Secundaria,A,2015,12
33,Tragedias,William Shakespeare,E. PLANETA,2014,1,Donación,Secundaria,B,2015,12
34,El señor e las moscas,William Golding,E. ALIANZA,1992,1,Donación,Secundaria,B,2015,12
35,La llamada de los salvaje,Jack London,E. JUVENTUD,2014,1,Donación,Secundaria,B,2015,12
36,La cocina de le Escritura,Daniel Cassany,E. ANAGRAMA,1995,1,Donación,Secundaria,B,2015,12
37,24 poetas Latinoamericanos,varios autores,E. PERSA,1997,1,Donación,Secundaria,B,2015,12
38,Cuentos de té y otros `árboles,Mónica Rodríguez S.,E. EVEREST,2011,1,Donación,Secundaria,B,2015,12
39,Los inocentes,Oswaldo Reynoso,E. SAN MARCOS,2007,1,Donación,Secundaria,A,2015,12
40,Nuestra poesía en el tiempo,Antonio Colinas,E. SIRUELAS,2009,1,Donación,Secundaria,B,2015,12
41,El Cristo Villenas,Carlos Eduardo Zavaleta,E. SANTILLANA,2006,1,Donación,Secundaria,A,2015,12
